Acres,Urban or Rural,Distance to GTET 100,Distance to GTET 200,Distance to CAISO substation,Population Density,percentile_GTET100,percentile_GTET200,percentile_CAISO,Parking,Rooftop
0.00021285310619433505,0,0.1524118903959367,0.08311502090032644,0.08329093383303457,0.006304795836389675,3.0,2.0,1.0,0,0
0.09201242882537224,1,0.06180046131096597,0.033701744792791394,0.05705905735745061,0.14075471258746958,2.0,1.0,1.0,0,0
0.004445292660668488,0,0.2521170209702577,0.13748737984178733,0.04469943906109883,0.14075471258746958,3.0,3.0,1.0,0,0
0.0006669563025613347,1,0.051291349986251046,0.11105570774573928,0.0473562173926243,0.008988554728887956,2.0,2.0,1.0,0,0
0.00015072489399959153,0,0.02333445649449427,0.12897491972482777,0.1255258603491292,0.008988554728887956,0.0,3.0,2.0,0,1
0.000312657883097893,0,0.037612629319998016,0.020511355537462778,0.016694792694312757,0.005908926845739169,1.0,0.0,0.0,0,1
0.0010558045097240343,1,0.1839231150643462,0.24067760509286631,0.15590136579335342,0.006304795836389675,3.0,3.0,3.0,0,0
0.010937142551052357,0,0.16792179451092834,0.09157306181387158,0.08516057345953996,0.14075471258746958,3.0,2.0,2.0,0,0
0.0002711628292273628,0,0.007316316369360515,0.005265231421431987,0.12090052897711692,0.029177873252063755,0.0,0.0,2.0,1,0
0.00025936821093700885,0,0.17854192531656737,0.09736455479766584,0.17262626325537983,0.025900310873589714,3.0,2.0,3.0,1,0
0.0001864961831882419,0,0.04478872440525474,0.02442470699215836,0.04135248088112585,0.028572426560480632,1.0,0.0,0.0,1,0
6.410478730071321e-05,1,0.023526017516270828,0.07429062745742389,0.12577844854254644,0.007719445317684865,0.0,2.0,2.0,0,0
2.195712879609507e-05,0,0.11306433638487368,0.061657556095510824,0.10438990774526564,0.14075471258746958,3.0,2.0,2.0,1,0
0.000825541686520273,1,0.1544257895232179,0.18440307260663982,0.16159822813683647,0.00400526272893453,3.0,3.0,3.0,0,0
0.00037026376987006723,0,0.018856062426723615,0.06045329132645327,0.04322290174513553,0.017773353359646978,0.0,2.0,0.0,0,1
0.00015650296957690765,1,0.047236568892547084,0.08354798327358354,0.25552279363541347,0.0058972836401318006,1.0,2.0,3.0,0,0
0.0005067265815795795,1,0.012141298644991043,0.11397131256504556,0.1280466235491845,0.00400526272893453,0.0,2.0,2.0,0,0
0.00028211212044273705,0,0.0073978850138809935,0.004034300512575514,0.006830310589541811,0.005908926845739169,0.0,0.0,0.0,0,1
0.00016274465558103126,1,0.0870946333502659,0.07168684377119754,0.08041263081926461,0.009052592359728481,2.0,2.0,1.0,0,0
0.0017146148340633283,1,0.02370931399011132,0.01292943826561868,0.02189030758298756,0.028572426560480632,0.0,0.0,0.0,0,0
0.0004655187056072376,0,0.005736872471642526,0.1470822437362822,0.24901898205003725,0.01758124046712541,0.0,3.0,3.0,0,1
0.016425317457907707,1,0.0755099570044686,0.04117796609113167,0.06971674444462586,0.005908926845739169,2.0,1.0,1.0,0,0
0.00027803836470589275,0,0.1089708181328534,0.05942523121463261,0.08312484187467478,0.2215643811054059,2.0,1.0,1.0,0,1
0.00012633204442958628,0,0.030194624822729246,0.06613326391422557,0.11151513184662941,0.08029154586840848,1.0,2.0,2.0,0,1
0.00028009028005951403,0,0.04414847425938318,0.02407555835213224,0.07162517370793926,0.14075471258746958,1.0,0.0,1.0,1,0
6.449156843666726e-05,0,0.04312546853877953,0.12735229730042621,0.10855683923036578,0.008988554728887956,1.0,3.0,2.0,1,0
0.0024328459870939616,0,0.20948689943980506,0.15189477163138143,0.025553886599609957,0.14075471258746958,3.0,3.0,0.0,0,0
0.0006056439944833857,1,0.07087349721797018,0.0629350954632245,0.1825941084325269,0.00400526272893453,2.0,2.0,3.0,0,0
0.0002098924721017198,0,0.14527133200144052,0.07922104872626058,0.018607969098643633,0.14075471258746958,3.0,2.0,0.0,0,1
0.0007547791178391422,0,0.04138971371684419,0.022571119036036483,0.029335396475330455,0.14075471258746958,1.0,0.0,0.0,1,0
0.020963669826894404,1,0.4293213881419043,0.28674939988716963,0.6294879999083375,0.0427305645790399,3.0,3.0,3.0,0,0
0.0011536971820632791,0,0.016707944585484247,0.13255847785917527,0.06963030442952702,0.01758124046712541,0.0,3.0,1.0,0,1
0.00013659009368031531,0,0.010814275629466798,0.0376368214077057,0.11158929170901855,0.028572426560480632,0.0,1.0,2.0,1,0
0.0007367282958921015,0,0.14245413529573833,0.07768474232348264,0.041261907574675245,0.2215643811054059,3.0,2.0,0.0,1,0
0.0017741933389756053,1,0.18957222371641513,0.14822611745089453,0.1941227734767129,0.007591370056003818,3.0,3.0,3.0,0,0
5.232701094342144e-05,1,0.025314661631008133,0.09687136077723482,0.18191763686655746,0.08519333542911034,1.0,2.0,3.0,0,0
